date,he,node,dalmp,dacon,daloss,rtlmp,rtcon,rtloss
2018-01-01,1,TH_NP15_GEN,36.45,0,-0.93,36.55,0,-0.09
2018-01-01,2,TH_NP15_GEN,34.76,0,-0.97,40.49,0,-0.08
2018-01-01,3,TH_NP15_GEN,32.85,0,-0.89,33.36,0,-0.08
2018-01-01,4,TH_NP15_GEN,31.65,0,-0.81,35.79,0,-0.14
2018-01-01,5,TH_NP15_GEN,31.8,0,-0.72,36.54,0,-0.12
2018-01-01,6,TH_NP15_GEN,33.24,0,-0.65,36.54,0,-0.21
2018-01-01,7,TH_NP15_GEN,34.81,0,-0.77,37.08,0,-0.25
2018-01-01,8,TH_NP15_GEN,34.34,0,-0.67,29.37,0,0.12
2018-01-01,9,TH_NP15_GEN,30.96,0,-0.33,25.13,0,0.29
2018-01-01,10,TH_NP15_GEN,26.84,0,-0.2,23.75,0,0.38
2018-01-01,11,TH_NP15_GEN,25.38,0,-0.09,24.05,0,0.56
2018-01-01,12,TH_NP15_GEN,24.45,0,-0.15,22.83,0,0.46
2018-01-01,13,TH_NP15_GEN,23.48,0,-0.08,22.13,0,0.35
2018-01-01,14,TH_NP15_GEN,24.51,0,-0.14,22.26,0,0.3
2018-01-01,15,TH_NP15_GEN,27.1,0,-0.08,25.34,0,0.22
2018-01-01,16,TH_NP15_GEN,32.2,0,-0.5,31.88,0,-0.1
2018-01-01,17,TH_NP15_GEN,38.05,0,-1.13,30.35,-0.38,-0.59
2018-01-01,18,TH_NP15_GEN,50.18,-5.22,-2.15,31.88,-7.27,-0.7
2018-01-01,19,TH_NP15_GEN,48.37,-4.78,-2.13,33.82,-4.94,0
2018-01-01,20,TH_NP15_GEN,50.48,-0.9,-1.85,36.33,-1.87,0
2018-01-01,21,TH_NP15_GEN,42.73,-1.62,-1.44,38.48,0,0
2018-01-01,22,TH_NP15_GEN,39.76,0,-1.24,39.35,0,0
2018-01-01,23,TH_NP15_GEN,37.5,0,-1.16,34.99,0,0
2018-01-01,24,TH_NP15_GEN,34.87,0,-0.97,32.52,0,-0.14
2018-01-02,1,TH_NP15_GEN,35.25,0,-1.1,30.98,0,0
2018-01-02,2,TH_NP15_GEN,34.24,0,-1.13,25.21,0,-0.04
2018-01-02,3,TH_NP15_GEN,33.45,0,-1.14,24.18,0,-0.11
2018-01-02,4,TH_NP15_GEN,32.54,0,-1.08,26.28,0,-0.15
2018-01-02,5,TH_NP15_GEN,34.19,0,-1.08,29.16,0,-0.28
2018-01-02,6,TH_NP15_GEN,35.83,0,-1.33,29.67,0,-0.59
2018-01-02,7,TH_NP15_GEN,42.6,0,-1.81,33.79,0,-0.73
2018-01-02,8,TH_NP15_GEN,48.41,-0.17,-2.19,33.63,0,-0.26
2018-01-02,9,TH_NP15_GEN,37.88,-2.57,-1.48,34.29,0,-0.02
2018-01-02,10,TH_NP15_GEN,35.05,-3.21,-1.14,42.42,0,0
2018-01-02,11,TH_NP15_GEN,33.53,-2.29,-0.63,29.76,0,0
2018-01-02,12,TH_NP15_GEN,32.77,-2.27,-0.61,28.03,0,0
