date,he,nevp,pace,pacw,pge,sce,sdge,vea,iso,npsolar,spsolar,zpsolar,solar,npwind,spwind,wind
2018-01-01,1,3399,4673,2189,9598,9862,1921,63,21444,0,0,0,0,63,80,143
2018-01-01,2,3314,4610,2157,9178,9530,1833,63,20604,0,0,0,0,56,81,137
2018-01-01,3,3264,4586,2147,8932,9200,1770,65,19967,0,0,0,0,53,85,138
2018-01-01,4,3258,4603,2181,8829,9015,1725,67,19636,0,0,0,0,56,81,137
2018-01-01,5,3277,4702,2256,8877,8987,1732,70,19666,0,0,0,0,49,55,104
2018-01-01,6,3318,4856,2396,9097,9038,1775,75,19985,0,0,0,0,44,43,87
2018-01-01,7,3351,5037,2588,9390,9128,1851,82,20451,0,15,0,15,42,42,84
2018-01-01,8,3286,5098,2742,9585,9000,1851,85,20521,50,886,113,1049,32,41,73
2018-01-01,9,3252,5145,2814,9637,9033,1840,76,20586,317,2923,513,3753,31,48,79
2018-01-01,10,3239,5125,2816,9675,8966,1788,68,20497,507,4080,844,5431,33,51,84
2018-01-01,11,3205,5067,2798,9648,8927,1756,61,20392,534,4427,967,5928,32,54,86
2018-01-01,12,3196,5005,2736,9563,8856,1736,57,20212,529,4509,1016,6054,35,60,95
2018-01-01,13,3184,4948,2654,9462,8880,1761,52,20155,517,4498,1012,6027,38,54,92
2018-01-01,14,3177,4910,2571,9413,8988,1795,49,20245,509,4268,953,5730,38,44,82
2018-01-01,15,3173,4910,2493,9494,9206,1874,47,20621,433,3619,793,4845,38,37,75
2018-01-01,16,3209,5026,2494,9716,9401,1985,48,21150,242,1878,438,2558,36,37,73
2018-01-01,17,3469,5398,2651,10181,9969,2198,54,22402,32,234,62,328,33,32,65
2018-01-01,18,3810,5510,2865,11649,11404,2596,63,25712,0,0,0,0,34,28,62
2018-01-01,19,3849,5483,2897,11997,11710,2621,63,26391,0,0,0,0,40,31,71
2018-01-01,20,3816,5436,2841,11823,11585,2579,63,26050,0,0,0,0,42,31,73
2018-01-01,21,3766,5283,2761,11551,11307,2483,64,25405,0,0,0,0,39,26,65
2018-01-01,22,3679,5047,2618,11089,10958,2304,63,24414,0,0,0,0,41,28,69
2018-01-01,23,3601,4813,2455,10399,10349,2125,61,22934,0,0,0,0,39,28,67
2018-01-01,24,3448,4649,2300,9691,9706,1961,60,21418,0,0,0,0,37,26,63
2018-01-02,1,3215,4636,2266,9326,9755,1913,63,21057,0,0,0,0,31,33,64
2018-01-02,2,3153,4624,2237,9037,9454,1841,65,20397,0,0,0,0,32,33,65
2018-01-02,3,3144,4656,2236,8891,9267,1806,67,20030,0,0,0,0,32,36,68
2018-01-02,4,3172,4752,2277,8916,9218,1798,69,20001,0,0,0,0,34,44,78
2018-01-02,5,3262,4990,2403,9214,9515,1855,74,20658,0,0,0,0,35,48,83
2018-01-02,6,3449,5400,2684,9947,10265,2023,82,22317,0,0,0,0,36,59,95
2018-01-02,7,3693,5751,3072,11406,11375,2280,90,25151,0,11,0,11,39,71,110
2018-01-02,8,3695,5717,3290,12118,11927,2372,93,26510,36,681,75,792,41,79,120
2018-01-02,9,3621,5582,3221,11808,11776,2330,84,25998,218,2401,403,3022,44,87,131
2018-01-02,10,3550,5459,3131,11393,11606,2249,76,25324,361,3523,697,4581,42,101,143
2018-01-02,11,3495,5320,3038,11076,11515,2189,68,24848,386,3895,807,5088,35,127,162
2018-01-02,12,3455,5195,2929,10820,11478,2153,64,24514,390,3913,837,5140,35,132,167
2018-01-02,13,3430,5120,2848,10746,11556,2170,60,24533,369,3890,816,5075,32,131,163
2018-01-02,14,3422,5061,2784,10783,11745,2208,58,24794,354,3720,779,4853,31,121,152
2018-01-02,15,3431,5043,2719,10846,11892,2281,56,25076,297,3192,658,4147,33,109,142
2018-01-02,16,3465,5136,2715,11130,11942,2372,57,25501,184,1664,362,2210,37,99,136
